latitude,longitude,altitude
7.0116042,100.5050773,24.829
7.0113004,100.5052015,23.725
7.0109662,100.5053376,25.043
7.0107412,100.5054136,26.332
7.0105471,100.5054883,26.939
7.0103671,100.5055473,25.643
7.0103238,100.5055613,25.345
7.010118,100.5056237,24.67
7.0099399,100.5056721,24.42
7.0098042,100.5057016,24.526
7.0097219,100.5057128,24.568
7.0096421,100.5057175,25.16
7.0095031,100.5057232,26.181
7.0094317,100.5057259,26.677
7.009339,100.5057263,27.141
7.0092464,100.5057241,27.6
7.0091717,100.5057209,27.975
7.0090971,100.5057125,27.249
7.0090231,100.5057034,26.449
7.0089491,100.5056865,25.65
7.0089043,100.5056754,25.166
7.0088595,100.5056591,24.417
7.0088031,100.5056357,23.195
7.0087583,100.5056122,22.093
7.0086235,100.5055373,18.175
7.0085151,100.5054623,17.331
7.0083292,100.5053128,17.932
7.0082412,100.5052432,19.825
7.0081506,100.5051685,22.205
7.00812,100.5051377,23.089
7.0080946,100.5051043,23.936
7.0080771,100.5050764,24.59
7.0080646,100.5050434,25.245
7.0080591,100.5050208,25.649
7.0080548,100.5049926,26.059
7.0080534,100.50489,26.808
7.0080571,100.5047737,27.621
7.0080728,100.5044879,27.094
7.0081132,100.5037889,23.471
7.0081533,100.5031731,18.589
7.0082027,100.502436,26.826
7.0085128,100.5024641,20.032
7.0085325,100.5024604,19.613
7.0085469,100.5024552,19.35
7.0085604,100.5024463,19.174
7.008573,100.5024356,19.056
7.0085856,100.5024221,18.994
7.0087233,100.5021668,21.273
7.0088603,100.5020612,20.726
7.0088897,100.5020226,20.719
7.0091019,100.50206,20.584
7.0092225,100.5020817,21.007
7.0093017,100.5020959,21.692
7.0093742,100.5021082,22.345
7.0094695,100.5021255,22.937
7.009532,100.50214,22.813
7.0096018,100.5021602,22.747
7.0096834,100.5021881,22.789
7.0097382,100.502209,22.732
7.0097896,100.50223,22.342
7.0098771,100.5022739,21.907
7.0099581,100.5023222,21.784
7.0100356,100.5023761,21.818
7.0101253,100.5024466,21.6
7.0102104,100.5025194,21.023
7.0104011,100.5027018,19.839
7.0105125,100.5028231,19.31
7.0106036,100.5029376,18.754
7.0106835,100.5030538,18.536
7.010758,100.5031769,19.145
7.0108351,100.5033078,19.81
7.010992,100.5035939,21.171
7.0111753,100.5039253,20.367
7.0113632,100.5042728,20.857
7.0115273,100.5045738,23.163
7.0115824,100.5046803,24.29
7.0116083,100.5047369,24.779
7.0116247,100.5047876,24.813
7.0116334,100.5048364,24.831
7.0116388,100.50488,24.843
7.0116398,100.5049191,24.835
7.0116387,100.5049571,24.814
7.0116374,100.504981,24.796
7.0116346,100.5050028,24.779
7.011631,100.5050197,24.814
7.0116266,100.505034,24.834
7.0116205,100.505054,24.862
7.0116042,100.5050773,24.829
